CustomerID,churn_probability
3668-QPYBK,0.3459
9237-HQITU,0.6247
9305-CDSKC,0.5937
7892-POOKP,0.2
0280-XJGEX,0.2523
4190-MFLUW,0.2397
8779-QRDMV,0.8043
1066-JKSGK,0.2726
6467-CHFZW,0.1609
8665-UTDHZ,0.7477
8773-HHUOZ,0.3186
6047-YHPVI,0.4539
5380-WJKOV,0.3769
8168-UQWWF,0.5281
7760-OYPDY,0.7014
9420-LOJKX,0.2854
7495-OOKFY,0.2227
1658-BYGOY,0.514
5698-BQJOH,0.4905
5919-TMRGD,0.735
9191-MYQKX,0.186
8637-XJIVR,0.3597
0278-YXOOG,0.1477
4598-XLKNJ,0.2204
3192-NQECA,0.1002
0486-HECZI,0.0945
4846-WHAFZ,0.1594
5299-RULOA,0.3175
0404-SWRVG,0.6191
4412-YLTKF,0.2916
6207-WIOLX,0.3894
3091-FYHKI,0.8059
2372-HWUHI,0.4741
0390-DCFDQ,0.4049
4080-OGPJL,0.2551
2135-RXIHG,0.6296
3874-EQOEP,0.4496
0867-MKZVY,0.1227
3376-BMGFE,0.4455
3445-HXXGF,0.3337
1875-QIVME,0.5581
0691-JVSYA,0.2652
2656-FMOKZ,0.3202
2070-FNEXE,0.2289
6317-YPKDH,0.5902
9367-WXLCH,0.4053
1918-ZBFQJ,0.3264
1024-GUALD,0.8322
2472-OVKUP,0.2674
1285-OKIPP,0.6552
7825-ECJRF,0.3038
7841-TZDMQ,0.4755
9408-SSNVZ,0.5336
0742-MOABM,0.3343
2232-DMLXU,0.6347
8937-RDTHP,0.5615
1251-KRREG,0.523
0094-OIFMO,0.4628
9947-OTFQU,0.4869
0322-YINQP,0.5027
4629-NRXKX,0.7706
9514-JDSKI,0.802
4959-JOSRX,0.5829
7273-TEFQD,0.7175
3606-TWKGI,0.7385
6323-AYBRX,0.0058
4385-GZQXV,0.5966
6366-ZGQGL,0.6231
5940-AHUHD,0.6816
6432-TWQLB,0.7097
4484-GLZOU,0.5582
9512-UIBFX,0.5297
5583-SXDAG,0.8228
3488-PGMQJ,0.5675
3580-REOAC,0.2544
7534-BFESC,0.517
6390-DSAZX,0.6754
8098-LLAZX,0.8689
0265-EDXBD,0.579
7563-BIUPC,0.7194
2321-OMBXY,0.0677
2840-XANRC,0.6659
5020-ZSTTY,0.0572
5804-LEPIM,0.7749
0122-OAHPZ,0.692
2868-SNELZ,0.6696
4322-RCYMT,0.0751
6680-NENYN,0.1725
1343-EHPYB,0.5472
2034-GDRCN,0.8512
0219-YTZUE,0.7579
0623-IIHUG,0.3512
4572-DVCGN,0.5643
9057-MSWCO,0.2184
1010-DIAUQ,0.6338
0259-GBZSH,0.8496
9601-BRXPO,0.6087
6905-NIQIN,0.4456
5167-ZFFMM,0.8352
4895-TMWIR,0.1324
0533-BNWKF,0.4396
6599-CEBNN,0.2664
0979-PHULV,0.4233
4800-VHZKI,0.3726
7989-CHGTL,0.3734
0334-GDDSO,0.7828
0578-SKVMF,0.5396
5564-NEMQO,0.788
9063-ZGTUY,0.0591
2957-LOLHO,0.2808
7752-XUSCI,0.4624
4110-PFEUZ,0.6735
0256-LTHVJ,0.5852
0880-TKATG,0.8524
3811-VBYBZ,0.7519
4640-UHDOS,0.3948
3583-EKAPL,0.695
9399-APLBT,0.8614
2359-KMGLI,0.462
0306-JAELE,0.7017
6227-HWPWX,0.3466
0447-BEMNG,0.2499
5949-XIKAE,0.7225
8372-JUXUI,0.864
0388-EOPEX,0.7805
8205-OTCHB,0.1759
6235-VDHOM,0.4686
7783-YKGDV,0.5452
5609-CEBID,0.5888
7218-HKQFK,0.8683
4636-QRJKY,0.7263
5956-VKDTT,0.8143
9412-GHEEC,0.3364
0257-ZESQC,0.3748
6825-UYPFK,0.3708
8397-MVTAZ,0.6732
9282-IZGQK,0.8936
1342-JPNKI,0.6332
2817-NTQDO,0.271
6986-IJDHX,0.3909
5301-GAUUY,0.3583
0939-YAPAF,0.571
4710-FDUIZ,0.2263
1218-VKFPE,0.1445
3627-FHKBK,0.5985
2865-TCHJW,0.8144
5192-EBGOV,0.9021
0719-SYFRB,0.2366
3419-SNJJD,0.3256
6543-CPZMK,0.5206
4765-OXPPD,0.1487
1009-IRMNA,0.1339
4554-YGZIH,0.3313
5099-BAILX,0.5092
7207-RMRDB,0.5519
4913-EHYUI,0.2933
0195-IESCP,0.7555
4580-TMHJU,0.2094
0970-ETWGE,0.8922
1626-ERCMM,0.7723
0887-HJGAR,0.5353
5644-PDMZC,0.8193
9576-ANLXO,0.6583
2024-BASKD,0.7506
