CustomerID,churn_probability,risk_band,in_mailer_list
9840-EFJQB,0.7399,Critical,0
5729-KLZAR,0.7399,Critical,0
5935-FCCNB,0.7396,Critical,0
3462-BJQQA,0.7395,Critical,0
2968-SSGAA,0.7395,Critical,0
3606-TWKGI,0.7385,Critical,0
1465-VINDH,0.7384,Critical,0
6127-ISGTU,0.7384,Critical,0
3329-WDIOK,0.7381,Critical,0
4132-KALRO,0.7376,Critical,0
5569-KGJHX,0.7372,Critical,0
8943-URTMR,0.7372,Critical,0
8083-YTZES,0.7369,Critical,0
4298-OYIFC,0.7369,Critical,0
3320-VEOYC,0.7362,Critical,0
1980-KXVPM,0.7361,Critical,0
7890-VYYWG,0.7355,Critical,0
7767-UXAGJ,0.7355,Critical,0
9874-QLCLH,0.7353,Critical,0
5919-TMRGD,0.735,Critical,0
5937-EORGB,0.734,Critical,0
0515-YPMCW,0.7337,Critical,0
8042-JVNFH,0.7337,Critical,0
6583-KQJLK,0.7334,Critical,0
2260-USTRB,0.7334,Critical,0
5995-SNNEW,0.7332,Critical,0
8752-STIVR,0.7324,Critical,0
7234-FECYN,0.7322,Critical,0
0674-EYYZV,0.7316,Critical,0
4919-IKATY,0.7314,Critical,0
4115-NZRKS,0.7312,Critical,0
2081-VEYEH,0.7311,Critical,0
4210-QFJMF,0.7307,Critical,0
4806-KEXQR,0.7297,Critical,0
9451-LPGOO,0.729,Critical,0
9828-AOQLM,0.7289,Critical,0
8356-WUAOJ,0.7289,Critical,0
7780-OTDSO,0.7287,Critical,0
8242-SOQUO,0.7276,Critical,0
6892-XPFPU,0.7273,Critical,0
4021-RQSNY,0.727,Critical,0
4145-UQXUQ,0.727,Critical,0
2371-JQHZZ,0.7266,Critical,0
5293-WXJAK,0.7265,Critical,0
4636-QRJKY,0.7263,Critical,0
0661-XEYAN,0.7261,Critical,0
4078-SAYYN,0.7257,Critical,0
1251-STYSZ,0.7257,Critical,0
2424-WVHPL,0.7257,Critical,0
1579-KLYDT,0.7255,Critical,0
2969-QWUBZ,0.7254,Critical,0
0236-HFWSV,0.7249,Critical,0
0168-XZKBB,0.7249,Critical,0
7394-FKDNK,0.7241,Critical,0
2612-RRIDN,0.7237,Critical,0
8357-EQXFO,0.7234,Critical,0
1078-TDCRN,0.7226,Critical,0
5565-FILXA,0.7225,Critical,0
8245-UMPYT,0.7225,Critical,0
5949-XIKAE,0.7225,Critical,0
5520-FVEWJ,0.7219,Critical,0
9391-EOYLI,0.7215,Critical,0
8699-ASUFO,0.721,Critical,0
0248-IPDFW,0.721,Critical,0
2276-YDAVZ,0.7204,Critical,0
4123-DVHPH,0.7201,Critical,0
7563-BIUPC,0.7194,Critical,0
0928-JMXNP,0.719,Critical,0
8290-YWKHZ,0.7187,Critical,0
3106-ULWFW,0.7178,Critical,0
2495-INZWQ,0.7178,Critical,0
2430-USGXP,0.7177,Critical,0
7273-TEFQD,0.7175,Critical,0
0925-VYDLG,0.7174,Critical,0
4060-LDNLU,0.7172,Critical,0
2027-FECZV,0.7172,Critical,0
5419-CONWX,0.7168,Critical,0
3247-ZVOUO,0.7168,Critical,0
1731-TVIUK,0.7161,Critical,0
6326-MTTXK,0.7159,Critical,0
4741-WWJQZ,0.7157,Critical,0
6077-BDPXA,0.7152,Critical,0
9633-XQABV,0.7152,Critical,0
5909-ECHUI,0.7147,Critical,0
7245-NIIWQ,0.7141,Critical,0
4450-DLLMH,0.7137,Critical,0
8642-GVWRF,0.7134,Critical,0
6210-KBBPI,0.7122,Critical,0
0612-RTZZA,0.712,Critical,0
0817-HSUSE,0.7117,Critical,0
3703-VAVCL,0.7113,Critical,0
8625-AZYZY,0.7108,Critical,0
5712-PTIWW,0.7108,Critical,0
9253-QXKBE,0.7104,Critical,0
0325-XBFAC,0.7103,Critical,0
9822-OAOVB,0.7102,Critical,0
3063-QFSZL,0.7102,Critical,0
5348-CAGXB,0.7102,Critical,0
2642-DTVCO,0.7101,Critical,0
6432-TWQLB,0.7097,Critical,0
6229-LSCKB,0.7093,Critical,0
8107-KNCIM,0.7089,Critical,0
6979-ZNSFF,0.7086,Critical,0
5229-PRWKT,0.7085,Critical,0
6615-NGGZJ,0.708,Critical,0
3677-IYRBF,0.7076,Critical,0
6956-SMUCM,0.7068,Critical,0
0480-BIXDE,0.7067,Critical,0
2665-NPTGL,0.7067,Critical,0
8417-FMLZI,0.7061,Critical,0
6969-MVBAI,0.7059,Critical,0
0225-ZORZP,0.7054,Critical,0
4501-EQDRN,0.705,Critical,0
3518-PZXZQ,0.7047,Critical,0
8443-WVPSS,0.7045,Critical,0
9102-IAYHT,0.7039,Critical,0
9172-ANCRX,0.7035,Critical,0
1084-UQCHV,0.7034,Critical,0
4229-CZMLL,0.7034,Critical,0
0644-OQMDK,0.7034,Critical,0
6198-RTPMF,0.7032,Critical,0
1960-UYCNN,0.7027,Critical,0
6328-ZPBGN,0.7021,Critical,0
0306-JAELE,0.7017,Critical,0
3904-UKFRE,0.7015,Critical,0
7760-OYPDY,0.7014,Critical,0
1496-GGSUK,0.7013,Critical,0
8931-GJJIQ,0.7013,Critical,0
2612-RANWT,0.7013,Critical,0
7823-JSOAG,0.7011,Critical,0
1309-BXVOQ,0.7008,Critical,0
2215-ZAFGX,0.7007,Critical,0
5649-ANRML,0.7001,Critical,0
4815-GBTCD,0.7,Critical,0
3317-VLGQT,0.6998,Critical,0
9965-YOKZB,0.6998,Critical,0
3370-HXOPH,0.6996,Critical,0
9290-SHCMB,0.6985,Critical,0
8058-JMEQO,0.6983,Critical,0
3398-FSHON,0.6978,Critical,0
1567-DSCIC,0.6977,Critical,0
7571-YXDAD,0.6974,Critical,0
8687-BAFGU,0.697,Critical,0
9094-AZPHK,0.6965,Critical,0
0793-TWELN,0.6961,Critical,0
2645-QTLMB,0.696,Critical,0
8111-RKSPX,0.6957,Critical,0
4195-NZGTA,0.6953,Critical,0
3583-EKAPL,0.695,Critical,0
5501-TVMGM,0.695,Critical,0
1024-VRZHF,0.6945,Critical,0
