rank,CustomerID,churn_probability,risk_band,Contract,Tenure Months,Monthly Charges,Payment Method
1,5178-LMXOP,0.9511,Critical,Month-to-month,1,95.1,Electronic check
2,7216-EWTRS,0.9475,Critical,Month-to-month,1,100.8,Electronic check
3,7181-BQYBV,0.9305,Critical,Month-to-month,1,102.45,Electronic check
4,4826-XTSOH,0.9304,Critical,Month-to-month,1,86.05,Electronic check
5,9497-QCMMS,0.9293,Critical,Month-to-month,1,93.55,Electronic check
6,8775-LHDJH,0.9258,Critical,Month-to-month,1,90.6,Electronic check
7,2725-KXXWT,0.9203,Critical,Month-to-month,1,90.75,Electronic check
8,5419-JPRRN,0.9192,Critical,Month-to-month,1,101.45,Electronic check
9,6521-YYTYI,0.9192,Critical,Month-to-month,1,93.3,Electronic check
10,9300-AGZNL,0.9179,Critical,Month-to-month,1,94.0,Electronic check
11,4910-GMJOT,0.9172,Critical,Month-to-month,1,94.6,Electronic check
12,8149-RSOUN,0.9172,Critical,Month-to-month,1,93.85,Electronic check
13,0107-YHINA,0.9161,Critical,Month-to-month,1,99.75,Electronic check
14,0295-PPHDO,0.9153,Critical,Month-to-month,1,95.45,Electronic check
15,5567-WSELE,0.9109,Critical,Month-to-month,3,94.6,Electronic check
16,6513-EECDB,0.9104,Critical,Month-to-month,1,73.55,Electronic check
17,4102-OQUPX,0.9104,Critical,Month-to-month,1,74.4,Electronic check
18,1400-MMYXY,0.9096,Critical,Month-to-month,3,105.9,Electronic check
19,4927-WWOOZ,0.9079,Critical,Month-to-month,2,91.45,Electronic check
20,0723-DRCLG,0.9024,Critical,Month-to-month,1,74.45,Electronic check
21,5192-EBGOV,0.9021,Critical,Month-to-month,1,85.7,Electronic check
22,3049-SOLAY,0.9016,Critical,Month-to-month,3,95.2,Electronic check
23,1069-XAIEM,0.9011,Critical,Month-to-month,1,85.05,Electronic check
24,4912-PIGUY,0.8999,Critical,Month-to-month,1,84.6,Electronic check
25,1415-YFWLT,0.8999,Critical,Month-to-month,1,89.3,Electronic check
26,7024-OHCCK,0.8962,Critical,Month-to-month,2,93.85,Electronic check
27,3489-HHPFY,0.8959,Critical,Month-to-month,2,84.05,Electronic check
28,4424-TKOPW,0.8954,Critical,Month-to-month,2,93.85,Electronic check
29,3068-OMWZA,0.8953,Critical,Month-to-month,1,88.8,Electronic check
30,7180-PISOG,0.8949,Critical,Month-to-month,1,74.5,Electronic check
31,0684-AOSIH,0.8947,Critical,Month-to-month,1,95.0,Electronic check
32,9282-IZGQK,0.8936,Critical,Month-to-month,1,85.0,Electronic check
33,0318-QUUOB,0.8929,Critical,Month-to-month,1,80.55,Electronic check
34,2720-WGKHP,0.8927,Critical,Month-to-month,2,94.0,Electronic check
35,0970-ETWGE,0.8922,Critical,Month-to-month,1,89.55,Electronic check
36,7274-RTAPZ,0.8922,Critical,Month-to-month,1,90.55,Electronic check
37,9725-SCPZG,0.8922,Critical,Month-to-month,1,90.85,Electronic check
38,8992-JQYUN,0.8911,Critical,Month-to-month,1,50.35,Electronic check
39,8603-IJWDN,0.8896,Critical,Month-to-month,1,86.6,Electronic check
40,3988-RQIXO,0.8872,Critical,Month-to-month,1,91.3,Electronic check
41,7851-WZEKY,0.8865,Critical,Month-to-month,2,95.15,Electronic check
42,3158-MOERK,0.8865,Critical,Month-to-month,2,96.0,Electronic check
43,3722-WPXTK,0.8845,Critical,Month-to-month,1,88.35,Electronic check
